# 标书文体同义表（合成语料生成器专用，全部手写，规避外部词表许可）
# 格式：词<TAB>候选1[,候选2...]  以 # 开头或空行忽略；加载时按词升序排序去重后二分查找。
# 用途：变换①同义替换——jieba 分词后按比例 p 替换，避开实体 span。
施工	建设,营造
建设	建造,兴建
营造	建设,构筑
质量	品质,质地
品质	质量
保证	确保,保障
确保	保证,保障
保障	保证,确保
严格	严谨,从严
严谨	严格,缜密
遵循	遵照,依照,按照
遵照	遵循,依照
依照	按照,遵循
按照	依照,遵照
采用	采取,运用,使用
采取	采用,运用
运用	采用,使用
使用	运用,采用
方案	计划,方法
计划	方案,规划
规划	计划,谋划
措施	举措,办法
举措	措施,办法
办法	措施,方法
方法	方式,办法
方式	方法,途径
途径	方式,渠道
组织	安排,统筹
安排	布置,组织
统筹	统一筹划,兼顾
管理	管控,治理
管控	管理,控制
治理	管理,整治
负责	承担,担负
承担	担负,负责
担负	承担,负责
提供	供给,给予
供给	提供,供应
供应	供给,提供
完成	达成,实现
达成	完成,实现
实现	达成,完成
项目	工程,标段
工程	项目,工项
标段	标包,工段
技术	工艺,技艺
工艺	技术,做法
服务	保障,支持
支持	支撑,配合
支撑	支持,承托
满足	符合,达到
符合	满足,契合
达到	满足,达成
要求	需求,标准
需求	要求,诉求
标准	规范,准则
规范	标准,准则
准则	规范,标准
制定	制订,拟定
制订	制定,拟订
拟定	制定,起草
落实	贯彻,执行
贯彻	落实,执行
执行	实施,落实
实施	执行,推行
推行	实施,推广
优化	改进,完善
改进	优化,改善
改善	改进,提升
提升	提高,增强
提高	提升,增强
增强	提升,强化
强化	增强,加强
加强	强化,增强
完善	健全,改进
健全	完善,完备
完备	完善,齐全
全面	全方位,整体
整体	总体,全局
总体	整体,总的
有效	高效,得力
高效	高效率,快捷
及时	即时,适时
适时	及时,恰当
合理	科学,恰当
科学	合理,严谨
先进	领先,前沿
领先	先进,超前
成熟	稳定,可靠
稳定	平稳,可靠
可靠	稳妥,牢靠
稳妥	可靠,妥当
安全	平安,可靠
牢靠	可靠,稳固
具备	拥有,具有
具有	具备,拥有
拥有	具备,持有
配备	配置,装备
配置	配备,部署
部署	布置,配置
投入	投放,投用
确定	明确,界定
明确	清晰,确定
界定	明确,划定
编制	编写,编排
编写	编制,撰写
撰写	编写,拟写
履行	执行,践行
践行	履行,落实
处理	解决,应对
解决	处理,化解
化解	解决,消除
应对	应付,处理
预防	防范,防止
防范	预防,防控
防止	预防,杜绝
杜绝	防止,消除
控制	把控,管控
把控	控制,把握
检查	检验,核查
检验	检查,验证
核查	检查,查验
验收	查验,验证
验证	验收,核验
监督	监管,督导
监管	监督,监控
督导	监督,督查
协调	统筹,配合
配合	协作,配合
协作	配合,合作
合作	协作,协同
协同	协作,配合
沟通	交流,联络
交流	沟通,交换
联络	联系,沟通
联系	联络,关联
响应	回应,应答
回应	响应,答复
期限	时限,期间
时限	期限,时效
期间	期限,时段
工期	建设周期,施工周期
周期	周期性,时段
阶段	环节,时期
环节	阶段,步骤
步骤	环节,程序
流程	程序,步骤
程序	流程,步骤
内容	内涵,事项
事项	内容,项目
目标	目的,指标
目的	目标,宗旨
宗旨	目的,理念
指标	目标,标的
原则	准则,方针
方针	原则,策略
策略	方针,谋略
依据	根据,凭据
根据	依据,基于
凭据	依据,凭证
范围	范畴,区域
范畴	范围,领域
领域	范畴,方面
方面	层面,方向
层面	方面,维度
责任	职责,义务
职责	责任,职能
义务	责任,职责
承诺	保证,允诺
允诺	承诺,答应
